"Date","Time","Ticker","ETF.Return","return","Abs.Spread","Rel.spread.mid","Quote.slope","Log.quote.slope","Effective.spread","Trading.volume","Depth","Log.depth","Dollar.depth","Rel.spread.log","Rel.spread.last","Adj.log.quote.slope","Composite.liquidity","Rel.effective.spread.last","Rel.effective.spread.mid","Dollar.volume","Order.Ratio","Flow.Ratio","No.of.transactions","Illiquidity","Liquidity.Ratio.1","Amihud","Effective.spread.2","Dollar.realised.spread","Percent.realised.spread"
"11/02/2016","9:31","FB.O","0.000212675457252191","-0.00352237841331388","0.469999999999999","0.00362276949165606","0.0286267674307778","0.000220655942807064","0.223800000000011","125026","14500","16.4182002434087","939110","0.00362277345390451","0.00362902976730969","0.000794954889183016","3.8576625652544e-09","0.00172803587643394","0.00172505491964398","16192267.2912","0.000771973422572722","10832626817.8128","669","2.81731672877152e-08","4596969828.68067","2.17534601545775e-10","0.00345308908049446","0.447600000000023","0.00345308908049446"
"11/02/2016","9:32","FB.O","0","0.000376801388605773","0.159999999999997","0.00123475845037812","0.0109627820550051","8.46024343868922e-05","0.0199999999999818","129862","11100","14.5948354347653","718741","0.00123475860725722","0.00123494905835132","0.000422859946915487","1.71794631220164e-09","0.000154368632293777","0.000154344806297128","16824920.72","0.000635961391917929","13914209435.44","827","2.90155232944027e-09","44651960499.0177","2.23954332312463e-11","0.000308713437364716","0.0399999999999636","0.000308713437364716"
"11/02/2016","9:33","FB.O","-0.00042526047203919","0.00100339610991043","0.240000000000009","0.0018511376783649","0.0162912868072389","0.000125655931040245","0.039999999999992","125470","5500","14.7318012898384","356267.5","0.00185113820697453","0.00185056673606299","0.0004149894046998","5.19592070106001e-09","0.000308427789343758","0.000308522946394077","16272204.3","0.000276545200455724","11065098924","680","7.99709978409525e-09","16217129146.9852","6.16631951892609e-11","0.000616950725953913","0.0799999999999841","0.000616950725953913"
"11/02/2016","9:34","FB.O","-0.000423314188470534","-0.00192767368339887","0.310000000000002","0.00239225218968247","0.0269262578780018","0.000207788484155607","0.14500000000001","74164","700","11.5129254649702","45331.5","0.00239225333056265","0.00239493201483314","0.00039818314637757","5.27724030681196e-08","0.00112021013597041","0.00111895666936768","9599788.16","3.12506895985505e-05","4924691326.08","513","2.59920403888527e-08","4979986105.8816","2.00803773090642e-10","0.00223916633755117","0.29000000000002","0.00223916633755117"
"11/02/2016","9:35","FB.O","0.00127473659345264","0.000386279357231237","0.330000000000013","0.00254973923121509","0.0299942742533676","0.000231750361237841","0.0649999999999977","145748","500","11.0020998412042","32364.5","0.00254974061257388","0.00254845934048971","0.000325717046511248","7.87819750410198e-08","0.000501969264035815","0.000502221363724147","18872908.52","5.29860036644739e-06","16947871850.96","898","2.65032355319618e-09","48858185576.5649","2.0467399437765e-11","0.00100419058556689","0.129999999999995","0.00100419058556689"
"11/02/2016","9:36","FB.O","0.000637619553666337","0.000154452081241654","0.210000000000008","0.00162193473643567","0.0190872654339612","0.000147420502941306","0.0349999999999682","99679","500","11.0020998412042","32374","0.0016219350920008","0.00162149640954373","0.000207194373103763","5.00999177252013e-08","0.000270249401590365","0.000270322456072355","12909427.29","7.74627702326212e-06","7048547300.34","546","1.54949469037264e-09","83582086989.181","1.19642860811724e-11","0.00054057185108114","0.0699999999999363","0.00054057185108114"
"11/02/2016","9:37","FB.O","0.000212404418012003","0.00136977839549074","0.27000000000001","0.00208357448778802","0.0217945922280514","0.000168187676912935","0.102400000000017","105178","1400","12.3883942023241","90777","0.00208357524157057","0.00208192931618654","0.000469539539629155","2.29526695945891e-08","0.000789590970287145","0.000790214916850076","13640261.3572","7.3312378246488e-05","7911351587.176","580","1.30234307126085e-08","9958005909.64439","1.00421711844085e-10","0.00157980572285155","0.204800000000034","0.00157980572285155"
"11/02/2016","9:38","FB.O","0.000424718623911574","8.17350027834809e-05","0.269999999999982","0.00208036367839105","0.0293148775284675","0.000225872697932445","0.0870000000000175","110757","200","9.21034037197618","12978.5","0.00208036442869438","0.00208175916359529","0.000225872697932445","1.60293075347e-07","0.000670789063825329","0.000670339407481739","14364961.386","0","8590246908.828","598","7.37966925643354e-10","175750423891.871","5.68988670329036e-12","0.00134112837079847","0.174000000000035","0.00134112837079847"
"11/02/2016","9:39","FB.O","0","-0.00060139709170515","0.139999999999986","0.00107958050586047","0.011424036496694","8.80940592708836e-05","0.0600000000000023","59326","1000","12.2548628096996","64854","0.00107958061071422","0.0010800802345316","0.000162735967203927","1.66463210574594e-08","0.000462891529085035","0.000462677359654552","7689836.12","5.20167131988243e-05","2714512150.36","353","1.01371589472601e-08","12786620065.2831","7.82067500945846e-11","0.000925568855700831","0.120000000000005","0.000925568855700831"
"11/02/2016","9:40","FB.O","-0.000806622797707574","-0.00165869464588801","0.22999999999999","0.00177585607844643","0.0143371017197077","0.000110698417075838","0.109999999999985","76807","31200","16.042293937542","2018674.5","0.00177585654515121","0.00177736563502175","0.000623755579648358","8.79713930327268e-10","0.000850044434140761","0.000849322472300392","9939209.835","0.00307871556270449","4263921019.215","429","2.15956181843843e-08","5992187808.43107","1.66883954904249e-10","0.00169936670196158","0.21999999999997","0.00169936670196158"
