budget,Production_Campany,revenue,Released_Time,runtime,vote_average,vote_count
55000000,0,110000000,4,91,5.7,254
39000000,0,35287788,4,87,6.6,932
4000000,1,52425855,1,91,4.1,1022
110000000,1,470490832,2,114,6,2968
50000000,0,222809600,1,106,6.8,2268
36000000,0,52424533,3,107,6.7,96
35000000,0,27330000,4,141,6.5,224
18000000,1,268157400,2,96,6.2,2713
2000000,0,1477002,3,98,6.8,279
60000000,1,30800231,1,118,6,487
130000000,0,847423452,4,146,7.4,6495
22000000,0,43058898,4,100,6.4,875
60000000,1,105200903,1,113,6.2,1778
23000000,0,46152800,1,106,7.2,661
3000000,0,11176469,2,108,7.4,568
90000000,0,334901337,2,129,6.7,3235
160000000,1,433677183,2,123,6.3,2268
42000000,0,107670357,4,108,6.1,1536
7000000,0,1310673,1,170,6.7,41
20000000,0,1969193,3,105,6.4,365
70000000,1,58058367,2,116,5.5,453
75000000,0,59418613,2,123,6,385
49000000,1,104399548,1,120,6.6,3062
44500000,1,232324128,4,120,7.1,3423
50000000,1,242786137,4,96,5.8,854
170000000,0,710644566,2,130,7.3,4410
70000000,0,161025640,1,120,6.2,2981
35000000,0,2106557,2,96,5.1,344
2500000,0,6854611,3,95,6.8,1048
17000000,0,127730736,1,95,6.1,1206
5000000,0,15179302,1,88,4.4,203
175000000,1,857611174,2,94,8,6560
21000000,0,205738714,3,122,6.9,4742
15000000,1,61548707,4,98,5.9,584
250000000,0,956019788,4,144,7.1,4760
5000000,0,10429707,1,98,5.5,121
35000000,0,24159934,1,98,5.3,394
29000000,1,287506194,2,115,6.8,1940
13000000,0,33400000,3,102,7.7,2968
60000000,0,108255770,3,97,6.6,668
40000000,1,132820716,4,157,6.7,1702
180000000,1,407602906,3,131,6.7,4794
30000000,0,82394288,4,100,5.8,1463
17000000,0,24000000,4,107,5.4,167
