budget,Company,Released_date,revenue,runtime,vote_average,vote_count
10000000,0,3,52882018,97,5.4,581
28000000,0,1,52597999,113,6,883
15000000,0,4,52501541,115,7,951
4000000,1,1,52425855,91,4.1,1022
36000000,0,3,52424533,107,6.7,96
20000000,0,4,52302796,94,5,432
35000000,1,2,51680201,87,5.4,647
26000000,1,4,51164106,105,6.2,551
60000000,1,1,50549107,105,5.9,1173
58000000,1,1,50365377,125,5.9,178
35000000,1,4,50363790,123,7,823
12500000,0,1,49002684,100,6,210
7000000,0,3,48126384,109,7.2,1170
13000000,0,1,48065672,93,5.7,737
23000000,1,4,47351251,126,7.9,4097
20000000,0,1,47241945,92,5.3,465
30000000,0,3,47042000,118,6.6,4697
42000000,1,1,46221189,102,6.2,925
35000000,0,1,46216641,118,5.7,1455
20000000,1,3,46089287,109,6.7,1778
13000000,1,2,45300000,89,5.7,290
40000000,1,4,44907260,113,6,433
4000000,0,2,44349000,164,7.5,1971
6900000,0,3,44287131,101,5.6,555
5000000,0,3,44030246,104,6.3,1050
58000000,1,2,44000000,119,6.1,1658
20000000,1,2,43967255,111,6.8,276
5000000,0,4,43884652,99,7.5,1104
8500000,0,1,43528634,100,6.8,1322
22000000,0,4,43058898,100,6.4,875
25000000,0,3,42972994,131,6.7,973
35000000,0,1,42930462,112,5.8,1138
100000,1,3,42664410,87,4.9,361
40000000,1,4,41863726,95,5.4,284
19800000,1,3,41296320,103,6.5,505
50000000,0,3,41037742,95,6.6,1940
30000000,0,2,40346186,94,6.3,799
5000000,1,3,40100000,93,6.1,766
65000000,0,3,39407616,102,6.3,1286
25000000,1,4,39171130,111,5.7,543
8500000,0,4,38697217,117,7.6,3395
25000000,1,2,38307627,124,6.6,259
15000000,0,3,37930465,97,5.8,742
40000000,0,1,36893721,91,5.3,388
15000000,1,1,36869414,108,7.6,4737
